------ Current Surface: Coil-Plasma -------
Number of fourier modes in table
151
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
     0     0  6.169646768267243E+00  0.000000000000000E+00  4.270079687706821E-02  0.000000000000000E+00 
     1     0 -3.664149896165372E+00 -4.836227656007726E+00 -1.048062144040958E-01 -1.505948465646078E-02 
     2     0  2.009284502621113E-01 -2.008471772399616E-01 -1.297250664028688E-02  7.821605750939195E-02 
     3     0  5.357209551661630E-01  7.181748555939855E-01  6.350921923386664E-02 -8.645426504227972E-02 
     4     0  1.403832054614920E-01  2.978783261089704E-01 -3.760405435848903E-02  2.740321394997636E-02 
     5     0 -1.275560013861365E-01 -5.960874767023365E-02  2.215694531483350E-02  1.985250102146954E-03 
     6     0 -7.657975389557926E-02 -8.251476065902165E-02  9.088923427606460E-04 -3.316209272729313E-03 
     7     0 -1.450498035491079E-02 -5.261217018823597E-02 -2.269298563567048E-02  8.399635384836589E-03 
     8     0  2.082987573221754E-02 -7.442673066502982E-03  7.361872047978581E-04 -6.629361673250017E-04 
     9     0  2.296892448448029E-02  2.339849447575511E-02  7.734245928026203E-03 -6.118439585223316E-03 
    10     0  1.117986959338041E-02  2.319939617243561E-02 -3.294127406311830E-03 -1.086235632159952E-03 
    11     0 -5.476991220390310E-03  7.593565132479354E-03 -1.907761734984207E-03  2.645196148015240E-03 
    12     0 -1.010983905174459E-02 -5.338861594003294E-04  2.014364490452506E-03 -4.692905538759462E-04 
    13     0 -4.937438187495544E-03 -6.682581921897696E-03 -2.240296676579975E-03  1.387231830415606E-03 
    14     0 -8.405824702802549E-04 -6.944176624782121E-03 -3.184064414568143E-03  6.406124782674144E-04 
    15     0  4.202239884598445E-03  6.462309992205422E-04 -1.999522561825169E-03 -5.705614812074776E-04 
    16     0  4.010538144185283E-03  4.255431693651563E-03 -4.701968575102141E-04 -1.396974790126220E-03 
    17     0  1.379551413866707E-03  3.683679772894829E-03  8.373851805286338E-04 -2.260845856333534E-04 
    18     0 -1.770881876559439E-03  2.667335731021015E-03  4.419241155167159E-04  3.996475468036721E-05 
    19     0 -2.144016361645751E-03  8.399885059791462E-04 -1.720281288551862E-03  1.050217825903617E-03 
    20     0 -1.524081341625885E-03 -2.055423234735915E-03 -1.603700716849831E-03  4.226881478816819E-04 
    21     0  3.997905567506065E-05 -2.193261368165177E-03 -8.211054151052619E-04 -5.981325724077874E-05 
    22     0  1.479110540619912E-03  3.285581957047084E-05 -6.201041908304127E-04 -6.537788816437767E-04 
    23     0  1.430907160849806E-03  2.088549674604497E-03 -2.848220676940349E-04 -2.585783792230005E-04 
    24     0  4.669150624336487E-04  2.359253635602496E-03  1.903248330672444E-05 -2.460989300576599E-04 
    25     0 -1.036333926565024E-03  5.979231826393184E-04 -3.591779494388071E-04  4.887284307782860E-04 
    26     0 -1.099687555098944E-03 -5.605733085268120E-04 -4.583296503312244E-04  1.437756721901046E-04 
    27     0 -3.573261010935199E-04 -3.910207321562511E-04 -6.050644168893288E-04  2.846699758186755E-04 
    28     0  5.168410904787246E-04  2.126886375023778E-04 -6.157333315265625E-04 -1.821779356346559E-04 
    29     0  5.457358682096968E-04  3.646325316147425E-04 -6.905226935937743E-04 -6.657242042275374E-05 
    30     0  4.583428381042356E-04  6.904680664540039E-04 -2.015852825413185E-04 -4.647747141092696E-04 
    31     0 -1.725680714206691E-04  7.702497263125331E-04  1.078444399331805E-06  2.141314774615054E-04 
    32     0 -2.411326403673894E-04  7.858738103180673E-04  1.852838376324400E-04 -8.327316920659523E-05 
    33     0 -3.896602406745404E-04  2.187064685773544E-04 -7.180732939102471E-04  3.425505069951037E-04 
    34     0 -6.116542298136918E-05 -2.152177859850098E-04 -7.903292031611373E-04  1.463185642178130E-04 
    35     0 -8.599217317993261E-05 -9.379095207582610E-07 -3.739952919590800E-04  1.825366091137113E-06 
    36     0  5.280644239861166E-04  5.923855459268654E-04  5.479178764569068E-05 -5.029234221269171E-04 
    37     0  2.051106147968299E-04  6.849466883896080E-04 -1.867502330416639E-04  1.099843341089926E-05 
    38     0 -1.085529568211224E-04  4.556782146019126E-04 -4.874644607393089E-04  1.904760278131668E-04 
    39     0 -3.041791083686193E-04  1.780076270820433E-04 -3.348994525933555E-04  3.111412254535966E-05 
    40     0 -1.000695325654007E-04  1.041932298199318E-04 -1.067291225723358E-04  8.926986201158282E-05 
    41     0  1.512946083838732E-05  3.605790669556492E-04 -8.027259627718203E-05 -2.489594654307802E-05 
    42     0  9.470998251406737E-05  4.808704207892067E-04 -5.056464324410020E-04 -6.479971946969725E-05 
    43     0  1.875267775319096E-04  3.242782883285977E-04 -5.623338078676671E-04  3.843944281182944E-05 
    44     0 -8.576761697582615E-05  1.709366615138147E-04  2.095996621999445E-05 -6.164835750999266E-05 
